TabTemplateID,TabName,ControlID,ClassName,Caption,StyleHex,ExStyleHex,Left,Top,Width,Height,ParentControlID,TabOrder,SemanticLabel
3220,"Grass",2127,"Button","Enable this type of data","50010003","00000004",11,13,140,16,0,1,"Priority:"
3220,"Grass",-1,"Static","Priority:","50020000","00000004",374,13,38,13,0,2,"Priority:"
3220,"Grass",2128,"Edit","50","50010080","00000204",419,11,31,21,0,3,"Priority:"
3220,"Grass",2129,"msctls_updown32","","50000036","00000004",448,11,18,21,0,4,"Priority:"
3220,"Grass",2130,"Button","Override","50010003","00000004",510,13,66,16,0,5,"Priority:"
3220,"Grass",-1,"Button","Selected Object","50000007","00000004",11,34,321,184,0,6,"Height Range:"
3220,"Grass",-1,"Static","Object Name","50020000","00000004",26,52,63,13,0,7,"Object Name"
3220,"Grass",2144,"Edit","","50010880","00000204",26,70,291,18,0,8,""
3220,"Grass",-1,"Static","Effective Density:","50020000","00000004",26,102,51,31,0,9,"Effective Density:"
3220,"Grass",2138,"Edit","","50010880","00000204",89,107,57,18,0,10,"Effective Density:"
3220,"Grass",-1,"Static","Min Slope:","50020000","00000004",26,141,54,13,0,11,"Min Slope:"
3220,"Grass",2140,"Edit","","50010880","00000204",89,140,57,18,0,12,"Color Range:"
3220,"Grass",-1,"Static","Max Slope:","50020000","00000004",27,163,54,13,0,13,"Max Slope:"
3220,"Grass",2142,"Edit","","50010880","00000204",89,161,57,18,0,14,"Wave Period:"
3220,"Grass",-1,"Static","Grass Objects","50020000","00000004",347,36,69,13,0,15,"Grass Objects"
3220,"Grass",2131,"SysTreeView32","","500100B7","00000204",345,52,231,166,0,16,"Height Range:"
3220,"Grass",-1,"Static","units from water","50020000","00000004",234,187,81,13,0,17,"units from water"
3220,"Grass",2133,"Edit","","50010880","00000204",153,185,75,18,0,18,"units from water"
3220,"Grass",-1,"Static","Position Range:","50020000","00000004",179,99,77,13,0,19,"Position Range:"
3220,"Grass",2145,"Edit","","50010880","00000204",260,98,57,18,0,20,"Position Range:"
3220,"Grass",-1,"Static","Height Range:","50020000","00000004",179,120,77,13,0,21,"Height Range:"
3220,"Grass",2146,"Edit","","50010880","00000204",260,119,57,18,0,22,"Height Range:"
3220,"Grass",-1,"Static","Color Range:","50020000","00000004",179,141,77,13,0,23,"Color Range:"
3220,"Grass",2147,"Edit","","50010880","00000204",260,140,57,18,0,24,"Color Range:"
3220,"Grass",-1,"Static","Wave Period:","50020000","00000004",179,163,77,13,0,25,"Wave Period:"
3220,"Grass",2148,"Edit","","50010880","00000204",260,161,57,18,0,26,"Wave Period:"
3220,"Grass",2132,"Edit","","50010880","00000204",26,185,122,18,0,27,"units from water"
3220,"Grass",9403,"Button","Dump Control Map","50010001","00000000",11,13,118,22,0,28,"Priority:"
