TabTemplateID,TabName,ControlID,ClassName,Caption,StyleHex,ExStyleHex,Left,Top,Width,Height,ParentControlID,TabOrder,SemanticLabel
0,"Unknown",1048,"Edit","GreatForestSubRegion03","50010080","00000204",11,33,165,20,0,1,""
0,"Unknown",1044,"Button","Choose Color","50010000","00000004",11,166,104,26,0,2,""
0,"Unknown",1049,"Edit","2048","50010080","00000204",375,33,165,20,0,3,""
0,"Unknown",1057,"Button","Apply","50010000","00000004",438,166,104,26,0,4,""
0,"Unknown",-1,"Static","Region Name","50020000","00000004",11,13,65,13,0,5,"Region Name"
0,"Unknown",-1,"Static","Map Color","50020000","00000004",11,73,50,13,0,6,"Map Color"
0,"Unknown",1047,"Static","","50001004","00020204",11,94,102,63,0,7,""
0,"Unknown",-1,"Static","Edge Fall-off (World Units)","50020000","00000004",375,13,129,13,0,8,"Edge Fall-off (World Units)"
0,"Unknown",1015,"Button","No Color","50010003","00000004",128,171,65,16,0,9,""
0,"Unknown",2282,"Button","Border Region","50010003","00000004",219,171,92,16,0,10,""
0,"Unknown",1058,"Button","Generate Path Grids for this Region","50010000","00000004",339,81,191,26,0,11,"Map Color"
0,"Unknown",-1,"Button","Pathgrid Generation","50000007","00000004",329,63,212,91,0,12,""
0,"Unknown",1059,"Button","Remove Path Grids for this Region","50010000","00000004",339,117,191,26,0,13,""
0,"Unknown",9403,"Button","Dump Control Map","50010001","00000000",8,8,118,22,0,14,"Region Name"
